threshold,TP,FP,FN,TN,recall,precision,cost_FN,cost_FP,total_cost
0.1,367,192,7,843,0.9813,0.6565,700.0,3840.0,4540.0
0.15,367,177,7,858,0.9813,0.6746,700.0,3540.0,4240.0
0.2,365,172,9,863,0.9759,0.6797,900.0,3440.0,4340.0
0.25,365,166,9,869,0.9759,0.6874,900.0,3320.0,4220.0
0.3,364,154,10,881,0.9733,0.7027,1000.0,3080.0,4080.0
0.35,362,151,12,884,0.9679,0.7057,1200.0,3020.0,4220.0
0.4,361,139,13,896,0.9652,0.722,1300.0,2780.0,4080.0
0.45,359,125,15,910,0.9599,0.7417,1500.0,2500.0,4000.0
0.5,354,101,20,934,0.9465,0.778,2000.0,2020.0,4020.0
0.55,345,82,29,953,0.9225,0.808,2900.0,1640.0,4540.0
0.6,340,74,34,961,0.9091,0.8213,3400.0,1480.0,4880.0
0.65,336,68,38,967,0.8984,0.8317,3800.0,1360.0,5160.0
0.7,329,61,45,974,0.8797,0.8436,4500.0,1220.0,5720.0
0.75,322,53,52,982,0.861,0.8587,5200.0,1060.0,6260.0
0.8,304,34,70,1001,0.8128,0.8994,7000.0,680.0,7680.0
0.85,278,20,96,1015,0.7433,0.9329,9600.0,400.0,10000.0
0.9,255,9,119,1026,0.6818,0.9659,11900.0,180.0,12080.0
